#                                                        a0: signalShape
#                                                          a1: syncPhase
#                                                       a2: binOfMaximum
#                                                          a3: timePhase
#                                                       a4: timeSmearing
#                                                      a5: packingScheme
#   eta  phi  dep        det      param1      DetId     a0   a1   a2     a3   a4   a5
    -15   12    1         HB   140908157    4200478C   125    1    5    6.0    1    1
    -15   12    2         HB   140908157    4200878C   125    1    5    6.0    1    1
    -16   12    1         HB   140908157    4200480C   125    1    5    6.0    1    1
    -16   12    2         HB   140908157    4200880C   125    1    5    6.0    1    1
     -1   13    1         HB   140908157    4200408D   125    1    5    6.0    1    1
     -2   13    1         HB   140908157    4200410D   125    1    5    6.0    1    1
     -3   13    1         HB   140908157    4200418D   125    1    5    6.0    1    1
     -4   13    1         HB   140908157    4200420D   125    1    5    6.0    1    1
     -5   13    1         HB   140908157    4200428D   125    1    5    6.0    1    1
     -6   13    1         HB   140908157    4200430D   125    1    5    6.0    1    1
     -7   13    1         HB   140908157    4200438D   125    1    5    6.0    1    1
     -8   13    1         HB   140908157    4200440D   125    1    5    6.0    1    1
     -9   13    1         HB   140908157    4200448D   125    1    5    6.0    1    1
    -10   13    1         HB   140908157    4200450D   125    1    5    6.0    1    1
    -11   13    1         HB   140908157    4200458D   125    1    5    6.0    1    1
    -12   13    1         HB   140908157    4200460D   125    1    5    6.0    1    1
    -13   13    1         HB   140908157    4200468D   125    1    5    6.0    1    1
    -14   13    1         HB   140908157    4200470D   125    1    5    6.0    1    1
    -15   13    1         HB   140908157    4200478D   125    1    5    6.0    1    1
    -15   13    2         HB   140908157    4200878D   125    1    5    6.0    1    1
    -16   13    1         HB   140908157    4200480D   125    1    5    6.0    1    1
    -16   13    2         HB   140908157    4200880D   125    1    5    6.0    1    1
     -1   14    1         HB   140908157    4200408E   125    1    5    6.0    1    1
     -2   14    1         HB   140908157    4200410E   125    1    5    6.0    1    1
     -3   14    1         HB   140908157    4200418E   125    1    5    6.0    1    1
     -4   14    1         HB   140908157    4200420E   125    1    5    6.0    1    1
     -5   14    1         HB   140908157    4200428E   125    1    5    6.0    1    1
     -6   14    1         HB   140908157    4200430E   125    1    5    6.0    1    1
     -7   14    1         HB   140908157    4200438E   125    1    5    6.0    1    1
     -8   14    1         HB   140908157    4200440E   125    1    5    6.0    1    1
     -9   14    1         HB   140908157    4200448E   125    1    5    6.0    1    1
    -10   14    1         HB   140908157    4200450E   125    1    5    6.0    1    1
    -11   14    1         HB   140908157    4200458E   125    1    5    6.0    1    1
    -12   14    1         HB   140908157    4200460E   125    1    5    6.0    1    1
    -13   14    1         HB   140908157    4200468E   125    1    5    6.0    1    1
    -14   14    1         HB   140908157    4200470E   125    1    5    6.0    1    1
    -15   14    1         HB   140908157    4200478E   125    1    5    6.0    1    1
    -15   14    2         HB   140908157    4200878E   125    1    5    6.0    1    1
    -16   14    1         HB   140908157    4200480E   125    1    5    6.0    1    1
    -16   14    2         HB   140908157    4200880E   125    1    5    6.0    1    1
     -1   15    1         HB   140908157    4200408F   125    1    5    6.0    1    1
     -2   15    1         HB   140908157    4200410F   125    1    5    6.0    1    1
     -3   15    1         HB   140908157    4200418F   125    1    5    6.0    1    1
     -4   15    1         HB   140908157    4200420F   125    1    5    6.0    1    1
     -5   15    1         HB   140908157    4200428F   125    1    5    6.0    1    1
     -6   15    1         HB   140908157    4200430F   125    1    5    6.0    1    1
     -7   15    1         HB   140908157    4200438F   125    1    5    6.0    1    1
     -8   15    1         HB   140908157    4200440F   125    1    5    6.0    1    1
     -9   15    1         HB   140908157    4200448F   125    1    5    6.0    1    1
    -10   15    1         HB   140908157    4200450F   125    1    5    6.0    1    1
    -11   15    1         HB   140908157    4200458F   125    1    5    6.0    1    1
    -12   15    1         HB   140908157    4200460F   125    1    5    6.0    1    1
    -13   15    1         HB   140908157    4200468F   125    1    5    6.0    1    1
    -14   15    1         HB   140908157    4200470F   125    1    5    6.0    1    1
    -15   15    1         HB   140908157    4200478F   125    1    5    6.0    1    1
    -15   15    2         HB   140908157    4200878F   125    1    5    6.0    1    1
    -16   15    1         HB   140908157    4200480F   125    1    5    6.0    1    1
    -16   15    2         HB   140908157    4200880F   125    1    5    6.0    1    1
     -1   16    1         HB   140908157    42004090   125    1    5    6.0    1    1
     -2   16    1         HB   140908157    42004110   125    1    5    6.0    1    1
     -3   16    1         HB   140908157    42004190   125    1    5    6.0    1    1
     -4   16    1         HB   140908157    42004210   125    1    5    6.0    1    1
     -5   16    1         HB   140908157    42004290   125    1    5    6.0    1    1
     -6   16    1         HB   140908157    42004310   125    1    5    6.0    1    1
     -7   16    1         HB   140908157    42004390   125    1    5    6.0    1    1
     -8   16    1         HB   140908157    42004410   125    1    5    6.0    1    1
     -9   16    1         HB   140908157    42004490   125    1    5    6.0    1    1
    -10   16    1         HB   140908157    42004510   125    1    5    6.0    1    1
    -11   16    1         HB   140908157    42004590   125    1    5    6.0    1    1
    -12   16    1         HB   140908157    42004610   125    1    5    6.0    1    1
    -13   16    1         HB   140908157    42004690   125    1    5    6.0    1    1
    -14   16    1         HB   140908157    42004710   125    1    5    6.0    1    1
    -15   16    1         HB   140908157    42004790   125    1    5    6.0    1    1
    -15   16    2         HB   140908157    42008790   125    1    5    6.0    1    1
    -16   16    1         HB   140908157    42004810   125    1    5    6.0    1    1
    -16   16    2         HB   140908157    42008810   125    1    5    6.0    1    1
     -1   17    1         HB   140908157    42004091   125    1    5    6.0    1    1
     -2   17    1         HB   140908157    42004111   125    1    5    6.0    1    1
     -3   17    1         HB   140908157    42004191   125    1    5    6.0    1    1
     -4   17    1         HB   140908157    42004211   125    1    5    6.0    1    1
     -5   17    1         HB   140908157    42004291   125    1    5    6.0    1    1
     -6   17    1         HB   140908157    42004311   125    1    5    6.0    1    1
     -7   17    1         HB   140908157    42004391   125    1    5    6.0    1    1
     -8   17    1         HB   140908157    42004411   125    1    5    6.0    1    1
     -9   17    1         HB   140908157    42004491   125    1    5    6.0    1    1
    -10   17    1         HB   140908157    42004511   125    1    5    6.0    1    1
    -11   17    1         HB   140908157    42004591   125    1    5    6.0    1    1
    -12   17    1         HB   140908157    42004611   125    1    5    6.0    1    1
    -13   17    1         HB   140908157    42004691   125    1    5    6.0    1    1
    -14   17    1         HB   140908157    42004711   125    1    5    6.0    1    1
    -15   17    1         HB   140908157    42004791   125    1    5    6.0    1    1
    -15   17    2         HB   140908157    42008791   125    1    5    6.0    1    1
    -16   17    1         HB   140908157    42004811   125    1    5    6.0    1    1
    -16   17    2         HB   140908157    42008811   125    1    5    6.0    1    1
     -1   18    1         HB   140908157    42004092   125    1    5    6.0    1    1
     -2   18    1         HB   140908157    42004112   125    1    5    6.0    1    1
     -3   18    1         HB   140908157    42004192   125    1    5    6.0    1    1
     -4   18    1         HB   140908157    42004212   125    1    5    6.0    1    1
     -5   18    1         HB   140908157    42004292   125    1    5    6.0    1    1
     -6   18    1         HB   140908157    42004312   125    1    5    6.0    1    1
     -7   18    1         HB   140908157    42004392   125    1    5    6.0    1    1
     -8   18    1         HB   140908157    42004412   125    1    5    6.0    1    1
     -9   18    1         HB   140908157    42004492   125    1    5    6.0    1    1
    -10   18    1         HB   140908157    42004512   125    1    5    6.0    1    1
    -11   18    1         HB   140908157    42004592   125    1    5    6.0    1    1
    -12   18    1         HB   140908157    42004612   125    1    5    6.0    1    1
    -13   18    1         HB   140908157    42004692   125    1    5    6.0    1    1
    -14   18    1         HB   140908157    42004712   125    1    5    6.0    1    1
    -15   18    1         HB   140908157    42004792   125    1    5    6.0    1    1
    -15   18    2         HB   140908157    42008792   125    1    5    6.0    1    1
    -16   18    1         HB   140908157    42004812   125    1    5    6.0    1    1
    -16   18    2         HB   140908157    42008812   125    1    5    6.0    1    1
     -1   19    1         HB   140908157    42004093   125    1    5    6.0    1    1
     -2   19    1         HB   140908157    42004113   125    1    5    6.0    1    1
     -3   19    1         HB   140908157    42004193   125    1    5    6.0    1    1
     -4   19    1         HB   140908157    42004213   125    1    5    6.0    1    1
     -5   19    1         HB   140908157    42004293   125    1    5    6.0    1    1
     -6   19    1         HB   140908157    42004313   125    1    5    6.0    1    1
     -7   19    1         HB   140908157    42004393   125    1    5    6.0    1    1
     -8   19    1         HB   140908157    42004413   125    1    5    6.0    1    1
     -9   19    1         HB   140908157    42004493   125    1    5    6.0    1    1
    -10   19    1         HB   140908157    42004513   125    1    5    6.0    1    1
    -11   19    1         HB   140908157    42004593   125    1    5    6.0    1    1
    -12   19    1         HB   140908157    42004613   125    1    5    6.0    1    1
    -13   19    1         HB   140908157    42004693   125    1    5    6.0    1    1
    -14   19    1         HB   140908157    42004713   125    1    5    6.0    1    1
    -15   19    1         HB   140908157    42004793   125    1    5    6.0    1    1
    -15   19    2         HB   140908157    42008793   125    1    5    6.0    1    1
    -16   19    1         HB   140908157    42004813   125    1    5    6.0    1    1
    -16   19    2         HB   140908157    42008813   125    1    5    6.0    1    1
     -1   20    1         HB   140908157    42004094   125    1    5    6.0    1    1
     -2   20    1         HB   140908157    42004114   125    1    5    6.0    1    1
     -3   20    1         HB   140908157    42004194   125    1    5    6.0    1    1
     -4   20    1         HB   140908157    42004214   125    1    5    6.0    1    1
     -5   20    1         HB   140908157    42004294   125    1    5    6.0    1    1
     -6   20    1         HB   140908157    42004314   125    1    5    6.0    1    1
     -7   20    1         HB   140908157    42004394   125    1    5    6.0    1    1
     -8   20    1         HB   140908157    42004414   125    1    5    6.0    1    1
     -9   20    1         HB   140908157    42004494   125    1    5    6.0    1    1
    -10   20    1         HB   140908157    42004514   125    1    5    6.0    1    1
    -11   20    1         HB   140908157    42004594   125    1    5    6.0    1    1
    -12   20    1         HB   140908157    42004614   125    1    5    6.0    1    1
    -13   20    1         HB   140908157    42004694   125    1    5    6.0    1    1
    -14   20    1         HB   140908157    42004714   125    1    5    6.0    1    1
    -15   20    1         HB   140908157    42004794   125    1    5    6.0    1    1
    -15   20    2         HB   140908157    42008794   125    1    5    6.0    1    1
    -16   20    1         HB   140908157    42004814   125    1    5    6.0    1    1
    -16   20    2         HB   140908157    42008814   125    1    5    6.0    1    1
     -1   21    1         HB   140908157    42004095   125    1    5    6.0    1    1
     -2   21    1         HB   140908157    42004115   125    1    5    6.0    1    1
     -3   21    1         HB   140908157    42004195   125    1    5    6.0    1    1
     -4   21    1         HB   140908157    42004215   125    1    5    6.0    1    1
     -5   21    1         HB   140908157    42004295   125    1    5    6.0    1    1
     -6   21    1         HB   140908157    42004315   125    1    5    6.0    1    1
     -7   21    1         HB   140908157    42004395   125    1    5    6.0    1    1
     -8   21    1         HB   140908157    42004415   125    1    5    6.0    1    1
     -9   21    1         HB   140908157    42004495   125    1    5    6.0    1    1
    -10   21    1         HB   140908157    42004515   125    1    5    6.0    1    1
    -11   21    1         HB   140908157    42004595   125    1    5    6.0    1    1
    -12   21    1         HB   140908157    42004615   125    1    5    6.0    1    1
    -13   21    1         HB   140908157    42004695   125    1    5    6.0    1    1
    -14   21    1         HB   140908157    42004715   125    1    5    6.0    1    1
    -15   21    1         HB   140908157    42004795   125    1    5    6.0    1    1
    -15   21    2         HB   140908157    42008795   125    1    5    6.0    1    1
    -16   21    1         HB   140908157    42004815   125    1    5    6.0    1    1
    -16   21    2         HB   140908157    42008815   125    1    5    6.0    1    1
     -1   22    1         HB   140908157    42004096   125    1    5    6.0    1    1
     -2   22    1         HB   140908157    42004116   125    1    5    6.0    1    1
     -3   22    1         HB   140908157    42004196   125    1    5    6.0    1    1
     -4   22    1         HB   140908157    42004216   125    1    5    6.0    1    1
     -5   22    1         HB   140908157    42004296   125    1    5    6.0    1    1
     -6   22    1         HB   140908157    42004316   125    1    5    6.0    1    1
     -7   22    1         HB   140908157    42004396   125    1    5    6.0    1    1
     -8   22    1         HB   140908157    42004416   125    1    5    6.0    1    1
     -9   22    1         HB   140908157    42004496   125    1    5    6.0    1    1
    -10   22    1         HB   140908157    42004516   125    1    5    6.0    1    1
