#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
              -15              18               2              HB  0.10878  0.10878  0.10878  0.10878   42008792
              -16              18               1              HB  0.17186  0.17186  0.17186  0.17186   42004812
              -16              18               2              HB  0.13018  0.13018  0.13018  0.13018   42008812
               -1              19               1              HB  0.23147  0.23147  0.23147  0.23147   42004093
               -2              19               1              HB  0.21262  0.21262  0.21262  0.21262   42004113
               -3              19               1              HB  0.20381  0.20381  0.20381  0.20381   42004193
               -4              19               1              HB  0.21509  0.21509  0.21509  0.21509   42004213
               -5              19               1              HB  0.20602  0.20602  0.20602  0.20602   42004293
               -6              19               1              HB  0.19475  0.19475  0.19475  0.19475   42004313
               -7              19               1              HB  0.19742  0.19742  0.19742  0.19742   42004393
               -8              19               1              HB  0.20644  0.20644  0.20644  0.20644   42004413
               -9              19               1              HB  0.18350  0.18350  0.18350  0.18350   42004493
              -10              19               1              HB  0.18625  0.18625  0.18625  0.18625   42004513
              -11              19               1              HB  0.19019  0.19019  0.19019  0.19019   42004593
              -12              19               1              HB  0.19238  0.19238  0.19238  0.19238   42004613
              -13              19               1              HB  0.18479  0.18479  0.18479  0.18479   42004693
              -14              19               1              HB  0.17192  0.17192  0.17192  0.17192   42004713
              -15              19               1              HB  0.15062  0.15062  0.15062  0.15062   42004793
              -15              19               2              HB  0.11430  0.11430  0.11430  0.11430   42008793
              -16              19               1              HB  0.15964  0.15964  0.15964  0.15964   42004813
              -16              19               2              HB  0.13389  0.13389  0.13389  0.13389   42008813
               -1              20               1              HB  0.25203  0.25203  0.25203  0.25203   42004094
               -2              20               1              HB  0.23497  0.23497  0.23497  0.23497   42004114
               -3              20               1              HB  0.22472  0.22472  0.22472  0.22472   42004194
               -4              20               1              HB  0.20824  0.20824  0.20824  0.20824   42004214
               -5              20               1              HB  0.23072  0.23072  0.23072  0.23072   42004294
               -6              20               1              HB  0.24030  0.24030  0.24030  0.24030   42004314
               -7              20               1              HB  0.20590  0.20590  0.20590  0.20590   42004394
               -8              20               1              HB  0.21022  0.21022  0.21022  0.21022   42004414
               -9              20               1              HB  0.20518  0.20518  0.20518  0.20518   42004494
              -10              20               1              HB  0.20362  0.20362  0.20362  0.20362   42004514
              -11              20               1              HB  0.19397  0.19397  0.19397  0.19397   42004594
              -12              20               1              HB  0.19762  0.19762  0.19762  0.19762   42004614
              -13              20               1              HB  0.19004  0.19004  0.19004  0.19004   42004694
              -14              20               1              HB  0.18937  0.18937  0.18937  0.18937   42004714
              -15              20               1              HB  0.16662  0.16662  0.16662  0.16662   42004794
              -15              20               2              HB  0.14709  0.14709  0.14709  0.14709   42008794
              -16              20               1              HB  0.17029  0.17029  0.17029  0.17029   42004814
              -16              20               2              HB  0.14887  0.14887  0.14887  0.14887   42008814
               -1              21               1              HB  0.25343  0.25343  0.25343  0.25343   42004095
               -2              21               1              HB  0.23100  0.23100  0.23100  0.23100   42004115
               -3              21               1              HB  0.20961  0.20961  0.20961  0.20961   42004195
               -4              21               1              HB  0.20180  0.20180  0.20180  0.20180   42004215
               -5              21               1              HB  0.20422  0.20422  0.20422  0.20422   42004295
               -6              21               1              HB  0.22666  0.22666  0.22666  0.22666   42004315
               -7              21               1              HB  0.19499  0.19499  0.19499  0.19499   42004395
               -8              21               1              HB  0.18783  0.18783  0.18783  0.18783   42004415
               -9              21               1              HB  0.18424  0.18424  0.18424  0.18424   42004495
              -10              21               1              HB  0.18636  0.18636  0.18636  0.18636   42004515
              -11              21               1              HB  0.17502  0.17502  0.17502  0.17502   42004595
              -12              21               1              HB  0.17808  0.17808  0.17808  0.17808   42004615
              -13              21               1              HB  0.17880  0.17880  0.17880  0.17880   42004695
              -14              21               1              HB  0.15650  0.15650  0.15650  0.15650   42004715
              -15              21               1              HB  0.13948  0.13948  0.13948  0.13948   42004795
              -15              21               2              HB  0.11871  0.11871  0.11871  0.11871   42008795
              -16              21               1              HB  0.14291  0.14291  0.14291  0.14291   42004815
              -16              21               2              HB  0.13915  0.13915  0.13915  0.13915   42008815
               -1              22               1              HB  0.22022  0.22022  0.22022  0.22022   42004096
               -2              22               1              HB  0.21557  0.21557  0.21557  0.21557   42004116
               -3              22               1              HB  0.21575  0.21575  0.21575  0.21575   42004196
               -4              22               1              HB  0.20052  0.20052  0.20052  0.20052   42004216
               -5              22               1              HB  0.20919  0.20919  0.20919  0.20919   42004296
               -6              22               1              HB  0.19974  0.19974  0.19974  0.19974   42004316
               -7              22               1              HB  0.19253  0.19253  0.19253  0.19253   42004396
               -8              22               1              HB  0.18064  0.18064  0.18064  0.18064   42004416
               -9              22               1              HB  0.18236  0.18236  0.18236  0.18236   42004496
              -10              22               1              HB  0.18568  0.18568  0.18568  0.18568   42004516
              -11              22               1              HB  0.19455  0.19455  0.19455  0.19455   42004596
              -12              22               1              HB  0.17096  0.17096  0.17096  0.17096   42004616
              -13              22               1              HB  0.16794  0.16794  0.16794  0.16794   42004696
              -14              22               1              HB  0.16604  0.16604  0.16604  0.16604   42004716
              -15              22               1              HB  0.14958  0.14958  0.14958  0.14958   42004796
